precinct,count_precinct
133.0,2879.0
134.0,2122.0
135.0,3919.0
136.0,2040.0
137.0,2946.0
138.0,1575.0
139.0,4382.0
140.0,3515.0
141.0,269.0
142.0,1036.0
143.0,4410.0
144.0,979.0
145.0,1503.0
146.0,2101.0
147.0,3345.0
148.0,2752.0
149.0,5821.0
150.0,1567.0
151.0,855.0
152.0,3385.0
153.0,2207.0
154.0,2460.0
155.0,4744.0
156.0,35.0
157.0,2362.0
158.0,2829.0
159.0,1447.0
160.0,760.0
161.0,1165.0
162.0,1690.0
163.0,3166.0
164.0,1559.0
165.0,2630.0
166.0,1534.0
167.0,65.0
168.0,507.0
169.0,2734.0
170.0,2190.0
171.0,1513.0
172.0,744.0
173.0,2968.0
174.0,3935.0
175.0,2834.0
176.0,1513.0
177.0,2258.0
178.0,2162.0
179.0,2378.0
180.0,2744.0
181.0,2428.0
182.0,719.0
183.0,2710.0
184.0,1256.0
185.0,2289.0
186.0,826.0
187.0,333.0
188.0,1954.0
189.0,1677.0
190.0,2102.0
191.0,1673.0
192.0,2046.0
193.0,1006.0
194.0,2836.0
195.0,2066.0
196.0,468.0
197.0,2844.0
198.0,730.0
199.0,3725.0
200.0,5231.0
201.0,790.0
202.0,1402.0
203.0,1097.0
204.0,4311.0
205.0,1700.0
206.0,3861.0
207.0,1266.0
208.0,2392.0
209.0,5215.0
210.0,3289.0
211.0,3266.0
212.0,1572.0
213.0,3597.0
214.0,2074.0
215.0,2570.0
216.0,2084.0
217.0,2897.0
218.0,2848.0
219.0,3102.0
220.0,2428.0
221.0,3058.0
222.0,3248.0
223.0,4116.0
224.0,2867.0
225.0,1365.0
226.0,2825.0
227.0,1827.0
228.0,1182.0
229.0,898.0
230.0,1084.0
231.0,2622.0
232.0,2014.0
233.0,3414.0
234.0,4840.0
235.0,3758.0
236.0,1925.0
237.0,2020.0
238.0,1897.0
239.0,1803.0
240.0,2661.0
241.0,2814.0
242.0,2061.0
243.0,578.0
244.0,3524.0
245.0,3760.0
246.0,4989.0
247.0,1757.0
248.0,2369.0
249.0,3325.0
250.0,1867.0
251.0,2625.0
252.0,2117.0
253.0,2093.0
254.0,1397.0
255.0,2512.0
256.0,3435.0
257.0,4025.0
258.0,3628.0
259.0,2110.0
260.0,1616.0
261.0,1722.0
262.0,4821.0
263.0,5076.0
264.0,2912.0
265.0,4319.0
266.0,2941.0
267.0,1658.0
268.0,2601.0
269.0,2340.0
270.0,4107.0
271.0,3256.0
272.0,2408.0
273.0,2582.0
274.0,2599.0
275.0,1684.0
276.0,2323.0
277.0,2163.0
278.0,3104.0
279.0,1683.0
280.0,1751.0
